City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Hovd,MN,48.0056,91.6419,-14.31,79,13,2.26,few clouds
307,Hofn,IS,64.2539,-15.2082,21.96,63,17,9.62,few clouds
308,Togur,RU,58.3631,82.8265,6.62,94,100,11.23,light snow
309,Eureka,US,40.8021,-124.1637,53.92,82,92,3.36,overcast clouds
310,Marsh Harbour,BS,26.5412,-77.0636,73.67,83,100,13.2,overcast clouds
311,Grindavik,IS,63.8424,-22.4338,28.87,86,75,10.36,light snow
312,Vitim,RU,59.4511,112.5578,-27.69,100,81,0.87,broken clouds
313,Liberal,US,37.0431,-100.921,63.63,16,0,17.27,clear sky
314,Honningsvag,NO,70.9821,25.9704,22.53,86,100,7.25,light snow
315,Progreso,MX,21.2833,-89.6667,73.51,74,73,19.26,broken clouds
316,Guilin,CN,25.2819,110.2864,37.89,94,4,4.38,clear sky
317,Vanderhoof,CA,54.0166,-124.0198,37.08,93,100,4.07,overcast clouds
318,Yulara,AU,-25.2406,130.9889,80.69,16,2,9.31,clear sky
319,Zhigansk,RU,66.7697,123.3711,-37.35,100,56,1.54,broken clouds
320,Salinas,US,36.6777,-121.6555,85.98,40,0,12.66,clear sky
321,Juegang,CN,32.3174,121.1855,35.91,82,0,7.36,light rain
322,Novoagansk,RU,61.9449,76.6625,-7.73,99,86,7.81,overcast clouds
323,Kiunga,PG,-6.1219,141.2906,79.43,82,94,1.92,overcast clouds
324,Berlevag,NO,70.8578,29.0864,23.0,86,75,18.41,light shower snow
325,Tshikapa,CD,-6.4167,20.8,69.98,97,100,3.2,overcast clouds
326,Anqiu,CN,36.4342,119.1925,30.51,88,91,11.3,overcast clouds
327,Talnakh,RU,69.4865,88.3972,-7.6,70,13,8.93,few clouds
328,Malindi,KE,-3.2175,40.1191,75.96,86,90,8.1,overcast clouds
329,Lorengau,PG,-2.0226,147.2712,82.67,76,99,2.95,overcast clouds
330,Whitecourt,CA,54.1502,-115.6855,35.76,76,94,1.16,overcast clouds
331,Vanimo,PG,-2.6741,141.3028,79.29,88,100,2.66,overcast clouds
332,Lakselv,NO,70.0513,24.9718,6.62,85,20,5.75,few clouds
333,El Campo,US,29.1966,-96.2697,62.78,23,0,5.75,clear sky
334,Kencong,ID,-8.2833,113.3667,75.34,92,100,1.52,overcast clouds
335,Ust-Ilimsk,RU,58.0006,102.6619,-28.53,100,12,2.89,few clouds
336,Sakharovo,RU,56.8995,36.0502,25.21,84,100,11.56,overcast clouds
337,Lamu,KE,-2.2717,40.902,79.02,87,47,9.22,scattered clouds
338,Pangnirtung,CA,66.1451,-65.7125,-35.03,95,94,5.48,overcast clouds
339,Oum Hadjer,TD,13.2954,19.6966,75.29,13,98,10.11,overcast clouds
340,Husavik,IS,66.0449,-17.3389,9.45,77,72,15.12,broken clouds
341,Kandrian,PG,-6.2167,149.55,82.26,76,93,3.0,light rain
